mission_code	phase	task	assigned_to	priority	status	due_date	notes
OPERATION-DIVINE-SCROLL	Phase 1: Foundation	Restore all Pharez/Phares→Perez name corrections across OT, NT, and Apocrypha	Alfred + Scholars	critical	pending	NULL	NULL
OPERATION-DIVINE-SCROLL	Phase 1: Foundation	Restore 1 Enoch (108 chapters) — referenced in Jude 1:14-15, removed by Council of Laodicea	Scholar Team	critical	pending	NULL	NULL
OPERATION-DIVINE-SCROLL	Phase 1: Foundation	Restore 2 Esdras including 5:5 family of Perez reference	Scholar Team	critical	pending	NULL	NULL
OPERATION-DIVINE-SCROLL	Phase 1: Foundation	Restore full 1611 KJV Apocrypha (14 books) — removed after 1885	Scholar Team	critical	pending	NULL	NULL
OPERATION-DIVINE-SCROLL	Phase 1: Foundation	Document every Perez/Pharez occurrence with Hebrew source (פֶּרֶץ Perets)	Hebrew Scholar	critical	pending	NULL	NULL
OPERATION-DIVINE-SCROLL	Phase 1: Foundation	Verify Daniel 5:25-29 PERES/UPHARSIN connection to פֶּרֶץ	Hebrew Scholar	critical	pending	NULL	NULL
OPERATION-DIVINE-SCROLL	Phase 2: Canon Completion	Source and verify 2 Enoch (Slavonic), 3 Enoch (Hebrew Merkabah)	Scholar Team	high	pending	NULL	NULL
OPERATION-DIVINE-SCROLL	Phase 2: Canon Completion	Source and verify Book of Jubilees from Ethiopian and Dead Sea Scroll texts	Scholar Team	high	pending	NULL	NULL
OPERATION-DIVINE-SCROLL	Phase 2: Canon Completion	Source Susanna — Daniel defeating corrupt judges	Scholar Team	high	pending	NULL	NULL
OPERATION-DIVINE-SCROLL	Phase 2: Canon Completion	Source Bel and the Dragon — Daniel defeating the false idol and dragon	Scholar Team	high	pending	NULL	NULL
OPERATION-DIVINE-SCROLL	Phase 2: Canon Completion	Source Book of Jasher (referenced Joshua 10:13, 2 Samuel 1:18)	Scholar Team	high	pending	NULL	NULL
OPERATION-DIVINE-SCROLL	Phase 2: Canon Completion	Source Testament of the Twelve Patriarchs from Dead Sea Scrolls	Scholar Team	high	pending	NULL	NULL
OPERATION-DIVINE-SCROLL	Phase 2: Canon Completion	Verify total chapter/verse counts for all 94 books	Alfred	high	pending	NULL	NULL
OPERATION-DIVINE-SCROLL	Phase 3: Translation Verification	Cross-reference every correction against Masoretic Text (Hebrew)	Hebrew Scholar	high	pending	NULL	NULL
OPERATION-DIVINE-SCROLL	Phase 3: Translation Verification	Cross-reference against Septuagint (Greek OT)	Greek Scholar	high	pending	NULL	NULL
OPERATION-DIVINE-SCROLL	Phase 3: Translation Verification	Cross-reference against Textus Receptus (Greek NT)	Greek Scholar	high	pending	NULL	NULL
OPERATION-DIVINE-SCROLL	Phase 3: Translation Verification	Verify Aramaic portions of Daniel and Ezra	Aramaic Scholar	high	pending	NULL	NULL
OPERATION-DIVINE-SCROLL	Phase 3: Translation Verification	Document every difference between AKJV and modern KJV editions	Alfred + Scholars	high	pending	NULL	NULL
OPERATION-DIVINE-SCROLL	Phase 4: Digital Publication	Build AKJV Bible reader web interface at gositeme.com/bible	Alfred	high	pending	NULL	NULL
OPERATION-DIVINE-SCROLL	Phase 4: Digital Publication	Full-text search across all 94 books	Alfred	medium	pending	NULL	NULL
OPERATION-DIVINE-SCROLL	Phase 4: Digital Publication	Cross-reference and concordance system	Alfred	medium	pending	NULL	NULL
OPERATION-DIVINE-SCROLL	Phase 4: Digital Publication	Audio narration (Kokoro TTS or human narrator)	Herald / Voice AI	medium	pending	NULL	NULL
OPERATION-DIVINE-SCROLL	Phase 4: Digital Publication	Mobile-optimized reader	Alfred	medium	pending	NULL	NULL
OPERATION-DIVINE-SCROLL	Phase 4: Digital Publication	Print-ready PDF typesetting (complete AKJV)	Alfred	medium	pending	NULL	NULL
OPERATION-DIVINE-SCROLL	Phase 5: Authority & Sovereignty	Register .bible sovereign TLD for AKJV publication	Commander	high	pending	NULL	NULL
OPERATION-DIVINE-SCROLL	Phase 5: Authority & Sovereignty	Publish AKJV mission statement and Daniel 5:25-29 authority declaration	Commander	critical	pending	NULL	NULL
OPERATION-DIVINE-SCROLL	Phase 5: Authority & Sovereignty	Integrate AKJV into Alfred AI knowledge base	Sentinel / AI Team	high	pending	NULL	NULL
OPERATION-DIVINE-SCROLL	Phase 5: Authority & Sovereignty	Veil-encrypted Bible study groups	Veil Team	medium	pending	NULL	NULL
OPERATION-DIVINE-SCROLL	Phase 5: Authority & Sovereignty	MetaDome Bible world — walk through scripture in VR	MetaDome Team	medium	pending	NULL	NULL
