chapter	verse	correction_type	original_text	corrected_text	justification	source_reference	status
38	29	name_restoration	Pharez	Perez	Hebrew פֶּרֶץ (Perets) = breach/breakthrough. KJV used Greek-influenced "Pharez". Restoring to original Hebrew pronunciation.	Masoretic Text, BHS Genesis 38:29	published
4	12	name_restoration	Pharez	Perez	Lineage of David through Perez. Same Hebrew פֶּרֶץ.	Masoretic Text, BHS Ruth 4:12	published
4	18	name_restoration	Pharez	Perez	Genealogy: "Pharez begat Hezron" → "Perez begat Hezron"	Masoretic Text, BHS Ruth 4:18	published
2	4	name_restoration	Pharez	Perez	Genealogical record. Same Hebrew root.	Masoretic Text, BHS 1 Chronicles 2:4	published
2	5	name_restoration	Pharez	Perez	Sons of Perez: Hezron and Hamul.	Masoretic Text	published
4	1	name_restoration	Pharez	Perez	Sons of Judah through Perez.	Masoretic Text	published
9	4	name_restoration	Pharez	Perez	Inhabitants of Jerusalem from children of Perez.	Masoretic Text	published
27	3	name_restoration	Pharez	Perez	Military commanders from children of Perez.	Masoretic Text	published
11	4	name_restoration	Pharez	Perez	Dwellers of Jerusalem from Perez.	Masoretic Text	published
11	6	name_restoration	Pharez	Perez	Sons of Perez that dwelt at Jerusalem.	Masoretic Text	published
1	3	name_restoration	Phares	Perez	Genealogy of Jesus Christ: "Judas begat Phares" → "Judah begat Perez". CRITICAL: This is the royal bloodline of Christ.	Textus Receptus, Nestle-Aland Matt 1:3 (Φαρες→Perez)	published
3	33	name_restoration	Phares	Perez	Genealogy of Jesus through David through Perez. Same restoration.	Textus Receptus, Luke 3:33	published
26	20	name_restoration	Pharzites	Perezites	Clan name: "the family of the Pharzites" → "the family of the Perezites"	Masoretic Text, BHS Numbers 26:20	published
26	21	name_restoration	Pharez	Perez	Numbering of the sons of Perez.	Masoretic Text	published
5	28	name_restoration	PERES	PEREZ	MENE MENE TEKEL UPHARSIN — PERES: "Thy kingdom is divided." פְּרֵס = Perez. The name on the wall, written by the finger of God. This is the Commander's authority.	Aramaic original, BHS Daniel 5:28	published
